GeneID	GeneStart	GeneEnd
ENSG00000235373	677193	685396
ENSG00000240618	694412	700305
ENSG00000228327	700237	714006
ENSG00000237491	714150	745440
ENSG00000177757	752751	755214
ENSG00000225880	761586	762902
ENSG00000230368	803451	812283
ENSG00000230699	846815	850328
ENSG00000187634	860260	879955
ENSG00000188976	879584	894689
ENSG00000187961	895967	901095
ENSG00000187583	901877	911245
ENSG00000272512	931346	933431
ENSG00000188290	934342	935552
ENSG00000187608	948803	949920
ENSG00000188157	955503	991496
ENSG00000273443	997588	998668
ENSG00000131591	1017198	1051741
ENSG00000162571	1109264	1133315
ENSG00000186891	1138888	1142071
ENSG00000186827	1146706	1149518
ENSG00000078808	1152288	1167411
ENSG00000176022	1167629	1170421
ENSG00000184163	1177826	1182102
ENSG00000260179	1185157	1186714
ENSG00000160087	1189289	1209265
ENSG00000230415	1210603	1215800
ENSG00000162572	1215816	1227409
ENSG00000131584	1227756	1244989
ENSG00000169972	1243947	1247057
ENSG00000127054	1246965	1260071
ENSG00000224051	1260136	1264277
ENSG00000107404	1270656	1284730
ENSG00000162576	1288069	1297157
ENSG00000175756	1309110	1310875
ENSG00000221978	1321091	1334708
ENSG00000224870	1334902	1337426
ENSG00000242485	1337288	1342693
ENSG00000272455	1344476	1345998
ENSG00000235098	1353800	1357149
ENSG00000215915	1385069	1405538
ENSG00000160072	1407143	1433228
ENSG00000197785	1447531	1470067
ENSG00000160075	1477053	1510249
ENSG00000215014	1510355	1511373
ENSG00000228594	1533392	1535476
ENSG00000272106	1549138	1551175
ENSG00000197530	1550795	1565990
ENSG00000189409	1567474	1570639
ENSG00000248333	1570603	1590473
ENSG00000272004	1590786	1594063
ENSG00000189339	1592939	1624167
ENSG00000269737	1603429	1604850
ENSG00000008128	1634169	1655766
ENSG00000215790	1656277	1677431
ENSG00000008130	1682671	1711896
ENSG00000078369	1716729	1822495
ENSG00000231050	1822910	1824097
ENSG00000178821	1849029	1850712
ENSG00000142609	1853396	1935276
ENSG00000067606	1981909	2116834
ENSG00000271806	2072523	2076718
ENSG00000182873	2113233	2115828
ENSG00000162585	2115903	2144159
ENSG00000269554	2121237	2123179
ENSG00000203301	2143360	2145620
ENSG00000157933	2160134	2241558
ENSG00000116151	2252692	2323146
ENSG00000157916	2323267	2336883
ENSG00000157911	2336236	2345236
ENSG00000149527	2357419	2436969
ENSG00000157881	2439972	2458039
ENSG00000272449	2477904	2478899
ENSG00000157873	2487078	2496821
ENSG00000228037	2512999	2515972
ENSG00000157870	2517930	2522908
ENSG00000142606	2522078	2564481
ENSG00000215912	2567415	2718286
ENSG00000142611	2985732	3355185
ENSG00000162591	3406484	3528059
ENSG00000238260	3539754	3541307
ENSG00000158109	3541566	3546691
ENSG00000116213	3547331	3569325
ENSG00000078900	3569084	3652765
ENSG00000227372	3652548	3663900
ENSG00000235169	3689352	3692546
ENSG00000130764	3696784	3713068
ENSG00000272153	3701572	3702102
ENSG00000116198	3728645	3773778
ENSG00000169598	3773845	3801993
ENSG00000198912	3805689	3816857
ENSG00000236423	3816936	3833789
ENSG00000196581	4714792	4852594
ENSG00000131697	5922871	6052533
ENSG00000069424	6051526	6161253
ENSG00000116254	6161853	6240183
ENSG00000116251	6241329	6269449
ENSG00000158286	6265535	6281359
ENSG00000116237	6281253	6296032
ENSG00000225077	6296300	6299504
